OBJECTID,FID,id,lat,long,cbsaName,cbsaGUID,plantId,tabID,panelID,panelNumbe,hoverText,heading,weeklyImpr,productTyp,POINT_X,POINT_Y
84,162156,747072,47.705875,-122.344494,,,1002017391,30922665,1156779,9801,AURORA AVE N EL 300F N/O N 105TH ST  SF-1,S,0,BULLETINS,-13619326.77,6058061.661
85,126962,714903,47.571227,-122.336133,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130448,1072885,17728,WEST SEATTLE BRIDGE SL 940F W/O 1ST AV S EF-1,E,134510,BULLETINS,-13618396.03,6035816.426
86,129236,716380,47.665797,-122.37646,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130065,1075569,11651,15TH AV NW WL 39F N/O NW 51ST ST NF-2,N,185942,POSTERS,-13622885.21,6051434.368
87,129437,716522,47.69394,-122.34479,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,129999,1075808,9988,AURORA AV N WL 58F S/O N 90TH ST NF-2,N,161900,POSTERS,-13619359.72,6056087.558
88,129605,716631,47.574821,-122.339067,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,30766373,1075997,16104,ALASKAN WY VIADUCT S EL 143F N/O S HORTON ST SF-2 (TRIVISION),S,320801,BULLETINS,-13618722.64,6036409.448
89,129838,716777,47.508008,-122.277178,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,129703,1076276,6582,S RYAN WY NL 300F E/O MLK JR WY S EF-2,E,28346,POSTERS,-13611833.19,6025391.728
90,128606,715952,47.562812,-122.3344,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130305,1074778,16289,1ST AV VIADUCT WL 338F N/O DENVER AV S SF-1,S,34133,POSTERS,-13618203.11,6034428.083
91,129315,716436,47.728778,-122.292569,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,129837,1075667,8463,LAKE CITY WY NE WL 278F N/O NE 137TH ST NF-1,N,152047,BULLETINS,-13613546.51,6061851.186
92,129276,716407,47.710875,-122.300709,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,129823,1075620,8330,LAKE CITY WY NE WL 122F N/O NE 113TH ST SF-1,S,104718,POSTERS,-13614452.65,6058888.818
93,128540,715910,47.579043,-122.328684,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,30458488,1074702,16675,4TH AV S EL 115F S/O LANDER ST SF-2,S,136319,BULLETINS,-13617566.81,6037106.144
94,128275,715731,47.50073,-122.305558,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,130579,1074388,20941,DES MOINES WY S EL 402F S/O MILITARY RD S NF-1,N,20147,POSTERS,-13614992.44,6024192.405
95,128481,715870,47.664309,-122.375875,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,14926330,1074632,11681,15TH AV NW EL 35F S/O NW 49TH NF-1,N,175041,BULLETINS,-13622820.09,6051188.41
96,128535,715905,47.579985,-122.32417,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,30458486,1074693,16671,S LANDER ST NL 50F E/O 7TH AV S EF-2,E,40159,POSTERS,-13617064.32,6037261.597
97,129430,716518,47.723049,-122.343651,"Seattle-Tacoma-Bellevue, WA",8430156E-10EE-DD11-BFE8-001EC9ACE3EE,1002017391,129972,1075800,9695,N 130TH ST SL 376F E/O AURORA AV N WF-2,W,65318,POSTERS,-13619232.93,6060903.111
